match_date,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral,goal_diff,total_goals,home_result,is_competitive,home_points,away_points,match_id,source,source_match_id,source_competition_id,source_competition_name,source_generated_at_utc
1996-01-16,United States,El Salvador,2,0,Gold Cup,Anaheim,United States,False,2.0,2.0,home,True,3.0,0.0,1996-01-16::United States::El Salvador,historical_csv,,,,
1996-01-17,Armenia,Morocco,0,6,Friendly,Vitrolles,France,True,-6.0,6.0,away,False,0.0,3.0,1996-01-17::Armenia::Morocco,historical_csv,,,,
1996-01-18,Algeria,Sierra Leone,2,0,African Cup of Nations,Bloemfontein,South Africa,True,2.0,2.0,home,True,3.0,0.0,1996-01-18::Algeria::Sierra Leone,historical_csv,,,,
1996-01-18,Cameroon,Egypt,2,1,African Cup of Nations,Johannesburg,South Africa,True,1.0,3.0,home,True,3.0,0.0,1996-01-18::Cameroon::Egypt,historical_csv,,,,
1996-01-18,United States,Brazil,0,1,Gold Cup,Los Angeles,United States,False,-1.0,1.0,away,True,0.0,3.0,1996-01-18::United States::Brazil,historical_csv,,,,
1996-01-19,DR Congo,Gabon,0,2,African Cup of Nations,Durban,South Africa,True,-2.0,2.0,away,True,0.0,3.0,1996-01-19::DR Congo::Gabon,historical_csv,,,,
1996-01-19,Ghana,Tunisia,2,1,African Cup of Nations,Port Elizabeth,South Africa,True,1.0,3.0,home,True,3.0,0.0,1996-01-19::Ghana::Tunisia,historical_csv,,,,
1996-01-19,Mexico,Guatemala,1,0,Gold Cup,San Diego,United States,True,1.0,1.0,home,True,3.0,0.0,1996-01-19::Mexico::Guatemala,historical_csv,,,,
1996-01-20,Burkina Faso,Zambia,1,5,African Cup of Nations,Bloemfontein,South Africa,True,-4.0,6.0,away,True,0.0,3.0,1996-01-20::Burkina Faso::Zambia,historical_csv,,,,
1996-01-20,South Africa,Angola,1,0,African Cup of Nations,Johannesburg,South Africa,False,1.0,1.0,home,True,3.0,0.0,1996-01-20::South Africa::Angola,historical_csv,,,,
1996-01-21,Mexico,Brazil,2,0,Gold Cup,Los Angeles,United States,True,2.0,2.0,home,True,3.0,0.0,1996-01-21::Mexico::Brazil,historical_csv,,,,
1996-01-21,Mozambique,Ivory Coast,0,1,African Cup of Nations,Port Elizabeth,South Africa,True,-1.0,1.0,away,True,0.0,3.0,1996-01-21::Mozambique::Ivory Coast,historical_csv,,,,
1996-01-21,United States,Guatemala,3,0,Gold Cup,Los Angeles,United States,False,3.0,3.0,home,True,3.0,0.0,1996-01-21::United States::Guatemala,historical_csv,,,,
1996-01-24,Angola,Cameroon,3,3,African Cup of Nations,Durban,South Africa,True,0.0,6.0,draw,True,1.0,1.0,1996-01-24::Angola::Cameroon,historical_csv,,,,
1996-01-24,Burkina Faso,Algeria,1,2,African Cup of Nations,Port Elizabeth,South Africa,True,-1.0,3.0,away,True,0.0,3.0,1996-01-24::Burkina Faso::Algeria,historical_csv,,,,
1996-01-24,Greece,Israel,2,1,Friendly,Chalcis,Greece,False,1.0,3.0,home,False,3.0,0.0,1996-01-24::Greece::Israel,historical_csv,,,,
1996-01-24,Saudi Arabia,Kyrgyzstan,3,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,False,3.0,3.0,home,True,3.0,0.0,1996-01-24::Saudi Arabia::Kyrgyzstan,historical_csv,,,,
1996-01-24,Sierra Leone,Zambia,0,4,African Cup of Nations,Bloemfontein,South Africa,True,-4.0,4.0,away,True,0.0,3.0,1996-01-24::Sierra Leone::Zambia,historical_csv,,,,
1996-01-24,South Africa,Egypt,0,1,African Cup of Nations,Johannesburg,South Africa,False,-1.0,1.0,away,True,0.0,3.0,1996-01-24::South Africa::Egypt,historical_csv,,,,
1996-01-25,Liberia,DR Congo,0,2,African Cup of Nations,Johannesburg,South Africa,True,-2.0,2.0,away,True,0.0,3.0,1996-01-25::Liberia::DR Congo,historical_csv,,,,
1996-01-25,Mozambique,Ghana,0,2,African Cup of Nations,Bloemfontein,South Africa,True,-2.0,2.0,away,True,0.0,3.0,1996-01-25::Mozambique::Ghana,historical_csv,,,,
1996-01-25,Tunisia,Ivory Coast,3,1,African Cup of Nations,Port Elizabeth,South Africa,True,2.0,4.0,home,True,3.0,0.0,1996-01-25::Tunisia::Ivory Coast,historical_csv,,,,
1996-01-26,Yemen,Kyrgyzstan,1,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,True,1.0,1.0,home,True,3.0,0.0,1996-01-26::Yemen::Kyrgyzstan,historical_csv,,,,
1996-01-27,South Africa,Algeria,2,1,African Cup of Nations,Johannesburg,South Africa,False,1.0,3.0,home,True,3.0,0.0,1996-01-27::South Africa::Algeria,historical_csv,,,,
1996-01-27,Zambia,Egypt,3,1,African Cup of Nations,Bloemfontein,South Africa,True,2.0,4.0,home,True,3.0,0.0,1996-01-27::Zambia::Egypt,historical_csv,,,,
1996-01-28,Gabon,Tunisia,1,1,African Cup of Nations,Durban,South Africa,True,0.0,2.0,draw,True,1.0,1.0,1996-01-28::Gabon::Tunisia,historical_csv,,,,
1996-01-28,Ghana,DR Congo,1,0,African Cup of Nations,Port Elizabeth,South Africa,True,1.0,1.0,home,True,3.0,0.0,1996-01-28::Ghana::DR Congo,historical_csv,,,,
1996-01-28,Saudi Arabia,Yemen,4,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,False,4.0,4.0,home,True,3.0,0.0,1996-01-28::Saudi Arabia::Yemen,historical_csv,,,,
1996-01-30,China,Macau,7,1,AFC Asian Cup qualification,Victoria,Hong Kong,True,6.0,8.0,home,True,3.0,0.0,1996-01-30::China::Macau,historical_csv,,,,
1996-01-30,Hong Kong,Philippines,8,0,AFC Asian Cup qualification,Victoria,Hong Kong,False,8.0,8.0,home,True,3.0,0.0,1996-01-30::Hong Kong::Philippines,historical_csv,,,,
1996-01-31,Saudi Arabia,Kyrgyzstan,2,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,False,2.0,2.0,home,True,3.0,0.0,1996-01-31::Saudi Arabia::Kyrgyzstan,historical_csv,,,,
1996-01-31,South Africa,Ghana,3,0,African Cup of Nations,Johannesburg,South Africa,False,3.0,3.0,home,True,3.0,0.0,1996-01-31::South Africa::Ghana,historical_csv,,,,
1996-01-31,Zambia,Tunisia,2,4,African Cup of Nations,Durban,South Africa,True,-2.0,6.0,away,True,0.0,3.0,1996-01-31::Zambia::Tunisia,historical_csv,,,,
1996-02-01,Hong Kong,Macau,4,1,AFC Asian Cup qualification,Victoria,Hong Kong,False,3.0,5.0,home,True,3.0,0.0,1996-02-01::Hong Kong::Macau,historical_csv,,,,
1996-02-01,Philippines,China,0,7,AFC Asian Cup qualification,Victoria,Hong Kong,True,-7.0,7.0,away,True,0.0,3.0,1996-02-01::Philippines::China,historical_csv,,,,
1996-02-02,Kyrgyzstan,Yemen,3,1,AFC Asian Cup qualification,Riyadh,Saudi Arabia,True,2.0,4.0,home,True,3.0,0.0,1996-02-02::Kyrgyzstan::Yemen,historical_csv,,,,
1996-02-02,Venezuela,Ecuador,0,1,Friendly,Caracas,Venezuela,False,-1.0,1.0,away,False,0.0,3.0,1996-02-02::Venezuela::Ecuador,historical_csv,,,,
1996-02-03,South Africa,Tunisia,2,0,African Cup of Nations,Johannesburg,South Africa,False,2.0,2.0,home,True,3.0,0.0,1996-02-03::South Africa::Tunisia,historical_csv,,,,
1996-02-03,Zambia,Ghana,1,0,African Cup of Nations,Johannesburg,South Africa,True,1.0,1.0,home,True,3.0,0.0,1996-02-03::Zambia::Ghana,historical_csv,,,,
1996-02-04,Bolivia,Chile,1,1,Friendly,Cochabamba,Bolivia,False,0.0,2.0,draw,False,1.0,1.0,1996-02-04::Bolivia::Chile,historical_csv,,,,
1996-02-04,Hong Kong,China,0,2,AFC Asian Cup qualification,Victoria,Hong Kong,False,-2.0,2.0,away,True,0.0,3.0,1996-02-04::Hong Kong::China,historical_csv,,,,
1996-02-04,Macau,Philippines,5,1,AFC Asian Cup qualification,Victoria,Hong Kong,True,4.0,6.0,home,True,3.0,0.0,1996-02-04::Macau::Philippines,historical_csv,,,,
1996-02-04,Saudi Arabia,Yemen,1,0,AFC Asian Cup qualification,Riyadh,Saudi Arabia,False,1.0,1.0,home,True,3.0,0.0,1996-02-04::Saudi Arabia::Yemen,historical_csv,,,,
1996-02-06,Canary Islands,Venezuela,5,1,Friendly,Las Palmas,Spain,False,4.0,6.0,home,False,3.0,0.0,1996-02-06::Canary Islands::Venezuela,historical_csv,,,,
1996-02-07,Chile,Mexico,2,1,Friendly,Viña del Mar,Chile,False,1.0,3.0,home,False,3.0,0.0,1996-02-07::Chile::Mexico,historical_csv,,,,
1996-02-07,Iceland,Slovenia,1,7,Malta International Tournament,Attard,Malta,True,-6.0,8.0,away,True,0.0,3.0,1996-02-07::Iceland::Slovenia,historical_csv,,,,
1996-02-07,Malta,Russia,0,2,Malta International Tournament,Attard,Malta,False,-2.0,2.0,away,True,0.0,3.0,1996-02-07::Malta::Russia,historical_csv,,,,
