team,elo_rating,last_match_date,matches_played
Myanmar,1246.6143468408477,2026-06-09,144
Cyprus,1246.4159453597135,2026-06-07,141
Bangladesh,1240.6841480652456,2026-06-05,120
Bonaire,1237.0112716744713,2026-06-06,44
Cambodia,1224.4224837806105,2026-06-09,125
Alderney,1218.9566027503051,2022-04-23,33
Tonga,1218.342173606655,2024-09-09,23
Latvia,1217.7139377472176,2026-06-09,159
Malta,1217.2161559298706,2026-06-05,146
Northern Mariana Islands,1215.2107311321927,2024-04-07,21
Barbados,1214.9070292112854,2026-03-29,92
São Tomé and Príncipe,1211.9232038534426,2025-10-13,49
Moldova,1209.267679822336,2026-06-09,163
Lithuania,1203.0665436527934,2026-06-09,156
Nepal,1199.0217267006537,2025-11-18,121
Antigua and Barbuda,1188.4133270047278,2025-11-18,90
Somalia,1176.1763028807766,2025-11-26,42
Cayman Islands,1176.1761309908336,2026-06-06,48
Djibouti,1164.3345510959273,2025-11-26,50
Sri Lanka,1163.5048751952575,2025-11-18,88
British Virgin Islands,1155.5958324837272,2026-06-06,58
Taiwan,1155.4921647178448,2025-11-18,92
Mongolia,1154.3509120419324,2026-06-05,60
Guam,1153.0101441241882,2026-06-06,65
American Samoa,1137.88073514956,2026-03-28,24
Maldives,1127.3459008035259,2026-06-01,119
Brunei,1114.7514161578736,2025-11-18,53
Timor-Leste,1106.1219346144755,2025-11-18,71
Laos,1102.9897886924366,2025-11-19,112
Turks and Caicos Islands,1086.4830163900708,2025-08-13,39
Macau,1080.1713059102465,2026-03-29,58
United States Virgin Islands,1070.983323041721,2026-03-28,51
Bahamas,1062.8665116529348,2026-03-29,43
Bhutan,1056.88179626761,2026-06-04,61
Andorra,1054.1822700430257,2026-06-07,142
Seychelles,1050.3658560209321,2025-10-14,90
Anguilla,1048.5033045492592,2026-03-29,56
Gibraltar,1018.3299116482583,2026-06-06,115
Liechtenstein,906.7546174788671,2026-06-07,140
San Marino,859.8261714318289,2026-06-09,127
